"id","surname","name","country"
"17","Оруэлл","Джордж","Англия"
"18","Фицджеральд","Фрэнсис Скотт","США"
"19","Хемингуэй","Эрнест","США"
"id","author_id","title","genre","price","weight","year_publication","pages","count"
"15","18","Преступление и наказание","проза","650.00","0.500","1866","500","50"
"16","19","Новое название","проза","24.99","0.450","1868","600","50"
"18","19","Анна Каренина","проза","24.49","0.700","1877","864","50"
"19","18","1984","проза","18.37","0.300","1949","328","50"
"21","17","Старик и море","другое","138.04","0.200","1952","127","50"
"23","19","linux компьютер","проза","1.22","1.000","2000","456","50"
"31","19","linux компьютер","проза","1.22","1.000","1",NULL,"50"
"76","18","Преступление и наказание","проза","19.99","0.500","1866","500","50"
"78","17","оч дорогая книг","другое","5000.00","1.500","2023","350","50"
"81","17","Книга 1","другое","500.00","1.200","2020","350","10"
"82","17","Книга 2","другое","300.00","1.000","2021","250","5"
"83","17","Книга 2","другое","20.00","1.500","2023","300","100"
"id","surname","name","title","price","year_publication","arrival_date"
"order_id","book_id","count"
"17","15","2"
"18","16","1"
"21","16","4"
"id","login","surname","name","address","phone"
"4","ivanov","Иванов","Иван","ул. Ленина, д. 10","89991112233"
"5","petrova","Петрова","Мария","пр. Победы, д. 5","89990001122"
"7","adc","Путин","Владимир","ул.Красная Площадь",NULL
"9","GooDLike","мой кисик","Артёмочка","Цигломень","+22914881377"
"13","test_user4","Test","User","Test Address","1234567890"
"14","john_doe","Doe","John","123 Elm Street","0987654321"
"15","mary_smith","Smith","Mary","456 Oak Road","1122334455"
"16","alice_jones","Jones","Alice","789 Pine Avenue","9988776655"
"17","bob_brown","Brown","Bob","101 Maple Lane","6677889900"
"id","login","surname","name","address","phone","deletion_date"
"0","sidorov","Сидоров","Алексей","ул. Мира, д. 2","89998887766","2025-03-27"
"idGame","name","description","category","price"
"1","SimCity","Градостроительный симулятор снова с вами! Создайте город своей мечты","Симулятор","1499.00"
"2","TITANFALL","Эта игра перенесет вас во вселенную, где малое противопоставляется большому, природа – индустрии, а человек – машине","Шутер","2299.00"
"3","Battlefield 4","Battlefield 4 – это определяющий для жанра, полный экшена боевик, известный своей разрушаемостью, равных которой нет","Шутер","899.40"
"4","The Sims 4","В реальности каждому человеку дано прожить лишь одну жизнь. Но с помощью The Sims 4 это ограничение можно снять! Вам решать — где, как и с кем жить, чем заниматься, чем украшать и обустраивать свой дом","Симулятор","15.00"
"5","Dark Souls 2","Продолжение знаменитого ролевого экшена вновь заставит игроков пройти через сложнейшие испытания. Dark Souls II предложит нового героя, новую историю и новый мир. Лишь одно неизменно – выжить в мрачной вселенной Dark Souls очень непросто.","RPG","949.00"
